,basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
158,$ 643.95 / £ 664.81,Non-removable Li-Po 5000 mAh battery,"128GB 6GB RAM,256GB 8GB RAM","24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm","128GB 6GB RAM, 256GB 8GB RAM",Android 9.0 (Pie); EMUI 9.1,"$ 643.95,£ 699.99,$ 950.00,£ 664.81","40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF, Laser AF,
8 MP, f/2.4, 80mm (telephoto), 1/4"", PDAF, Laser AF, OIS, 3x optical zoom,
20 MP, f/2.2, 16mm (ultrawide), 1/2.7"", PDAF, Laser AF","2018, October","7.2 inches, 130.7 cm, (~87.6% screen-to-body ratio)","1080 x 2244 pixels, 18.7:9 ratio (~346 ppi density)","OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, barometer, compass",Huawei Mate 20 X
159,,Non-removable Li-Po 4200 mAh battery,,"24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9µm","256GB 8GB RAM, 512GB 8GB RAM",Android 9.0 (Pie); EMUI 9.1,,"40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF, Laser AF,
8 MP, f/2.4, 80mm (telephoto), 1/4"", PDAF, Laser AF, OIS, 3x optical zoom,
20 MP, f/2.2, 16mm (ultrawide), 1/2.7"", PDAF, Laser AF","2018, October","6.39 inches, 100.2 cm, (~87.9% screen-to-body ratio)","1440 x 3120 pixels, 19.5:9 ratio (~538 ppi density)","OLED capacitive touchscreen, 16M colors","Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, barometer, compass",Huawei Mate 20 RS Porsche Design
160,,Non-removable Li-Ion 420 mAh battery,,,128MB 16MB RAM,Huawei wearable platform,,No,"2018, October","1.39 inches, 12.5 cm, (~57.9% screen-to-body ratio)","454 x 454 pixels, 1:1 ratio (~326 ppi density)","OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate, barometer, compass",Huawei Watch GT
161,,Non-removable Li-Po 6660 mAh battery,,5 MP,"16GB 2GB RAM (Standard), 64GB 3GB RAM (Premium)",Android 5.1 (Lollipop); EMUI 3.1,,"13 MP, f/2.0, AF","2016, January","10.1 inches, 295.8 cm, (~71.4% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, compass",Huawei MediaPad M2 10.0
162,,Non-removable Li-Ion 3000 mAh battery,,"8 MP, f/2.4","32GB 3GB RAM (EVA-L19/EVA-L09), 64GB 4GB RAM (EVA-L29)","Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat); EMUI 4.1",,"12 MP, f/2.2, 27mm (wide), 1/2.9"", 1.25µm, PDAF, Laser AF,
12 MP B/W, f/2.2, 27mm (wide), 1/2.9"", 1.25µm, PDAF, Laser AF","2016, April","5.2 inches, 74.9 cm, (~72.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~423 ppi density)","IPS-NEO LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Huawei P9
163,,Non-removable Li-Po 3400 mAh battery,,"8 MP, f/1.9, AF",64GB 4GB RAM,"Android 6 (Marshmallow), upgradable to 7 (Nougat); EMUI 5",,"12 MP, f/2.2, 27mm (wide), 1/2.9"", 1.25µm, PDAF, Laser AF,
12 MP B/W, f/2.2, 27mm (wide), 1/2.9"", 1.25µm, PDAF, Laser AF","2016, April","5.5 inches, 83.4 cm, (~72.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Super AMOLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Huawei P9 Plus
164,,Non-removable 3000 mAh battery,,"8 MP, f/2.0","16GB 2GB RAM, 16GB 3GB RAM","Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat); EMUI 4.1",,"13 MP, f/2.0, 1/3"", 1.12µm, AF","2016, April","5.2 inches, 74.5 cm, (~69.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",Huawei P9 lite
165,,Removable Li-Po 2200 mAh battery,,2 MP,8GB 1GB RAM,Android 5.1 (Lollipop); EMUI 3.1,,"8 MP, f/2.0, AF","2016, April","5.0 inches, 68.9 cm, (~66.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Huawei Y5II
166,,Removable Li-Po 2100 mAh battery,,2 MP,8GB 1GB RAM,Android 5.1 (Lollipop); EMUI 3.1,,"5 MP, AF","2016, April","4.5 inches, 55.8 cm, (~62.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)","Capacitive touchscreen, 16M colors","Accelerometer, proximity",Huawei Y3II
167,,Non-removable Li-Ion 4360 mAh battery,,5 MP,"16GB 3GB RAM, 32GB 3GB RAM",Android 5.1.1 (Lollipop); EMUI,,"13 MP, f/2.0, AF","2016, May","7.0 inches, 142.1 cm, (~71.7% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~323 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (side-mounted), accelerometer, proximity",Huawei MediaPad M2 7.0
168,,Non-removable Li-Ion 4100 mAh battery,,2 MP,16GB 2GB RAM,Android 4.4.2 (KitKat); EMUI 3,,"5 MP, AF","2016, April","7.0 inches, 137.9 cm, (~67.2% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)","IPS LCD capacitive touchscreen, 16M colors",Accelerometer,Huawei MediaPad T1 7.0 Plus
169,,Non-removable Li-Po 3340 mAh battery,,8 MP,"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM",Android 6.0 (Marshmallow); EMUI 4.1,,"16 MP, 1/2.8"", 1.12µm, PDAF, OIS","2016, August","5.5 inches, 83.4 cm, (~72.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",Huawei G9 Plus
170,,Non-removable Li-Ion 4100 mAh battery,,2 MP,"8GB 1GB RAM, 16GB 1GB RAM, 16GB 2GB RAM (DL09)",Android 6 (Marshmallow); EMUI 4,,2 MP,"2016, August","7.0 inches, 137.9 cm, (~67.2% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)","IPS LCD capacitive touchscreen, 16M colors",Accelerometer,Huawei MediaPad T2 7.0
171,,Non-removable Li-Po 4360 mAh battery,,5 MP,"16GB 2GB RAM, 32GB 3GB RAM (701L); 16GB 3GB RAM, 32GB 3GB RAM (703L)",Android 5.1 (Lollipop); EMUI 3.1,,"13 MP, f/2.0, AF","2016, August","7.0 inches, 135.1 cm, (~68.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~315 ppi density)","LTPS IPS LCD capacitive touchscreen, 16M colors","Fingerprint (side-mounted), accelerometer, proximity, compass",Huawei MediaPad T2 7.0 Pro
172,,Non-removable Li-Ion 6660 mAh battery,,2 MP,"16GB 2GB RAM; 16GB 3GB RAM, 32GB 3GB RAM (A03L)",Android 5.1 (Lollipop); EMUI 3.1,,"8 MP, f/2.0, AF","2016, August","10.0 inches, 290.0 cm, (~71.6% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~226 ppi density)","IPS LCD capacitive touchscreen, 16M colors",Accelerometer,Huawei MediaPad T2 10.0 Pro
173,,Non-removable Li-Po 3020 mAh battery,,8 MP,32GB 3GB RAM,"Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat); EMUI 4.1",,"12 MP, 1/2.9"", 1.25µm, PDAF","2016, September","5.0 inches, 68.9 cm, (~70.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Huawei nova
174,,Non-removable Li-Po 3340 mAh battery,,"8 MP, f/2.0",32GB 3GB RAM,Android 6.0.1 (Marshmallow); EMUI 4.1,,"16 MP, f/2.0, 1/2.8"", 1.12µm, PDAF, OIS","2016, September","5.5 inches, 83.4 cm, (~72.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",Huawei nova plus
175,,Non-removable Li-Po 5100 mAh battery,,8 MP,"32GB 4GB RAM, 64GB 4GB RAM",Android 6.0 (Marshmallow); EMUI 4.1,,"8 MP, AF","2016, September","8.4 inches, 204.6 cm, (~76.4% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~359 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Huawei MediaPad M3 8.4
176,,Non-removable Li-Po 4100 mAh battery,,5 MP,16GB 3GB RAM,Android 6.0 (Marshmallow); EMUI 4.1,,"13 MP, f/2.2, AF","2016, October","5.0 inches, 69.4 cm, (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~293 ppi density)","OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",Huawei Enjoy 6
177,,Non-removable Li-Ion 80 mAh battery,,,16MB 256 KB RAM,,,No,"2016, November","1.04 inches, 7.0 cm, (~45.0% screen-to-body ratio)","208 x 208 pixels, 1:1 ratio (~200 ppi density)",Monochrome graphic,"Accelerometer, gyro, heart rate",Huawei Fit
178,,Non-removable Li-Po 4000 mAh battery,,"8 MP, f/1.9, 26mm (wide), 1/3.2"", 1.4µm, AF",64GB 4GB RAM,"Android 7.0 (Nougat), upgradable to Android 9.0 (Pie); EMUI 9.1",,"12 MP, f/2.2, 27mm (wide), 1/2.9"", 1.25µm, PDAF, Laser AF, OIS,
20 MP B/W, f/2.2, 27mm (wide), 2x lossless zoom, PDAF, Laser AF, OIS","2016, November","5.9 inches, 96.0 cm, (~77.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~373 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, barometer, compass",Huawei Mate 9
179,,Non-removable Li-Po 4000 mAh battery,,"8 MP, f/1.9, 26mm (wide), 1/3.2"", 1.4µm, AF",256GB 6GB RAM,"Android 7.0 (Nougat), upgradable to Android 9.0 (Pie); EMUI 9.1",,"12 MP, f/2.2, 27mm (wide), 1/2.9"", 1.25µm, PDAF, Laser AF, OIS,
20 MP B/W, f/2.2, 27mm (wide), 2x lossless zoom, PDAF, Laser AF, OIS","2016, November","5.5 inches, 83.4 cm, (~73.2% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)","OLED capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, barometer, compass",Huawei Mate 9 Porsche Design
180,,Non-removable Li-Po 4000 mAh battery,,"8 MP, f/1.9, 26mm (wide), 1/3.2"", 1.4µm, AF","64GB 4GB RAM, 128GB 6GB RAM","Android 7.0 (Nougat), upgradable to Android 9.0 (Pie); EMUI 9.1",,"12 MP, f/2.2, 27mm (wide), 1/2.9"", 1.25µm, PDAF, Laser AF, OIS,
20 MP B/W, f/2.2, 27mm (wide), 2x lossless zoom, PDAF, Laser AF, OIS","2016, November","5.5 inches, 83.4 cm, (~73.2% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)","OLED capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, barometer, compass",Huawei Mate 9 Pro
181,,Non-removable Li-Po 3020 mAh battery,,5 MP,"16GB 2GB RAM (Nova Smart), 32GB 3GB RAM (Enjoy 6s)",Android 6.0 (Marshmallow); EMUI 4.1,,"13 MP, f/2.2, PDAF","2016, December","5.0 inches, 68.9 cm, (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","OLED capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",Huawei Enjoy 6s
182,,Non-removable Li-Ion 3000 mAh battery,,"8 MP, f/2.0","16GB 3GB RAM, 64GB 4GB RAM","Android 7.0 (Nougat), upgradable to Android 8.0 (Oreo); EMUI 9",,"12 MP, AF","2017, January","5.2 inches, 74.5 cm, (~69.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, proximity, compass",Huawei P8 Lite (2017)
183,,Non-removable Li-Ion 3200 mAh battery,,"8 MP, f/1.9","32GB 4GB RAM, 64GB 4GB RAM","Android 7.0 (Nougat), upgradable to Android 9.0 (Pie); EMUI 9.1",,"12 MP, f/2.2, 28mm (wide), PDAF, Laser AF, OIS,
20 MP B/W, f/1.8, 2x lossless zoom, PDAF, Laser AF","2017, February","5.1 inches, 71.7 cm, (~71.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~432 ppi density)","IPS-NEO LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Huawei P10
184,,Non-removable Li-Ion 3750 mAh battery,,"8 MP, f/1.9","64GB 4GB RAM, 128GB 6GB RAM","Android 7.0 (Nougat), upgradable to Android 9.0 (Pie); EMUI 9.1",,"12 MP, f/1.8, 28mm (wide), PDAF, Laser AF, OIS,
20 MP B/W, f/1.8, 2x lossless zoom, PDAF, Laser AF","2017, February","5.5 inches, 81.5 cm, (~71.6% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~540 ppi density)","IPS-NEO LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Huawei P10 Plus
185,,Non-removable Li-Ion 420 mAh battery,,,4GB 768MB RAM,"Android Wear OS 2.0, upgradable to 2.1",,No,"2017, February","1.2 inches, 9.2 cm, (~42.0% screen-to-body ratio)","390 x 390 pixels, 1:1 ratio (~326 ppi density)","OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate, barometer, compass",Huawei Watch 2
186,,Non-removable Li-Ion 420 mAh battery,,,4GB 768MB RAM,"Android Wear OS 2.0, upgradable to 2.1",,No,"2017, February","1.2 inches, 9.2 cm, (~42.0% screen-to-body ratio)","390 x 390 pixels, 1:1 ratio (~326 ppi density)","OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate, barometer, compass",Huawei Watch 2 Classic
187,,Non-removable Li-Ion 2200 mAh battery,,2 MP,8GB 1GB RAM,Android 6.0 (Marshmallow); EMUI 4.1 Mini,,"8 MP, f/2.0, AF","2017, May","5.0 inches, 68.9 cm, (~64.4% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",Huawei Y3 (2017)
188,,Non-removable Li-Ion 3000 mAh battery,,5 MP,16GB 2GB RAM,Android 6.0 (Marshmallow); EMUI 4.1,,"8 MP, f/2.0, AF","2017, April","5.0 inches, 68.9 cm, (~66.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Huawei Y5 (2017)
189,,Non-removable Li-Ion 3000 mAh battery,,5 MP,16GB 2GB RAM,Android 6.0 (Marshmallow); EMUI 4.1,,"13 MP, AF","2017, May","5.0 inches, 68.9 cm, (~66.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Huawei Y6 (2017)
190,,Non-removable Li-Ion 4000 mAh battery,,"8 MP, f/2.0",16GB 2GB RAM,Android 7.0 (Nougat); EMUI 5.1,,"12 MP, f/2.2, 1/2.9"", 1.25µm, PDAF","2017, May","5.5 inches, 83.4 cm, (~71.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Huawei Y7
191,,Non-removable Li-Po 2500 mAh battery,,"8 MP, f/2.0, 26mm (wide)",16GB 2GB RAM,"Android 4.4.2 (KitKat), upgradable to 5.1.1 (Lollipop); EMUI 2.3",,"13 MP, f/2.0, 28mm (wide), AF","2014, May","5.0 inches, 68.9 cm, (~71.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Huawei Ascend P7
192,,Removable Li-Ion 1700 mAhbattery,,,,Android 4.0 (Ice Cream Sandwich),,5 MP,"2014, April",4.0 inches,,TFT capacitive touchscreen,Accelerometer,Huawei Ascend Plus
193,,Removable Li-Ion 1500 mAh battery,,No,4GB 512MB RAM,Android 4.2 (Jelly Bean); EMUI Lite 2,,3.15 MP,"2014, March","4.0 inches, 41.2 cm, (~53.1% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~245 ppi density)","TFT capacitive touchscreen, 16M colors",Accelerometer,Huawei Ascend Y330
194,,Non-removable Li-Ion 2000 mAh battery,,1 MP,4GB 1GB RAM,Android 4.3 (Jelly Bean); EMUI Lite 2,,"8 MP, AF","2014, March","5.0 inches, 68.9 cm, (~67.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Capacitive touchscreen, 16M colors","Accelerometer, proximity",Huawei Ascend G630
195,,Removable Li-Ion 1730 mAh battery,,VGA,4GB 512MB RAM,Firefox OS,,5 MP,"2014, Q2","4.0 inches, 45.5 cm","480 x 800 pixels, 5:3 ratio (~233 ppi density)","Capacitive touchscreen, 16M colors",Accelerometer,Huawei Y300II
196,,Non-removable Li-Ion 2000 mAh battery,,1 MP,8GB 1GB RAM,Android 4.3 (Jelly Bean),,5 MP,"2014, Q3","4.5 inches, 55.8 cm, (~65.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)","Capacitive touchscreen, 16M colors","Accelerometer, proximity",Huawei Ascend G535
197,,Non-removable Li-Po 4100 mAh battery,,"5 MP, f/2.4, 22mm (wide)","16GB 2GB RAM, 32GB 3GB RAM","Android 4.4.2 (KitKat), upgradable to 6.0 (Marshmallow); EMUI 3.1",,"13 MP, f/2.0, 28mm (wide), AF","2014, September","6.0 inches, 98.7 cm, (~77.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~368 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Huawei Ascend Mate7
198,,Non-removable Li-Po 2500 mAh battery,,8 MP,16GB 2GB RAM,Android 4.4.2 (KitKat); EMUI 2.3,,"13 MP, AF","2014, August","5.0 inches, 68.9 cm, (~71.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Huawei Ascend P7 Sapphire Edition
199,,Non-removable Li-Po 3000 mAh battery,,5 MP,16GB 2GB RAM,"Android 4.4.2 (KitKat), upgradable to 6 (Marshmallow); EMUI 3",,"13 MP, f/2.0, AF","2014, September","5.5 inches, 83.4 cm, (~70.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Huawei Ascend G7
200,,Removable Li-Ion 2000 mAh battery,,2 MP,4GB 1GB RAM,Android 4.4.2 (KitKat); EMUI 2.3,,"5 MP, AF","2014, September","4.5 inches, 55.8 cm, (~61.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Huawei Ascend Y550
201,,Non-removable Li-Po 2000 mAh battery,,2 MP,8GB 1GB RAM,Android 4.4.2 (KitKat); EMUI 3,,"8 MP, AF","2014, September","5.0 inches, 68.9 cm, (~67.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",Huawei Ascend G620s
202,,Non-removable Li-Ion 4100 mAh battery,,2 MP,8GB 1GB RAM,Android 4.4.2 (KitKat); EMUI 3,,2 MP,"2015, March","7.0 inches, 137.9 cm, (~67.2% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)","IPS LCD capacitive touchscreen, 16M colors",Accelerometer,Huawei MediaPad T1 7.0
203,,Non-removable Li-Po 4800 mAh battery,,VGA,"8GB 1GB RAM, 16GB 1GB RAM",Android 4.3 (Jelly Bean); EMUI 1.6,,"5 MP, 1.4µm","2014, September","8.0 inches, 187.6 cm, (~69.7% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~188 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",Huawei MediaPad T1 8.0
204,,Non-removable Li-Po 4800 mAh battery,,2 MP,8GB 1GB RAM,Android 4.4.4 (KitKat); EMUI 3,,"5 MP, AF","2015, March","9.6 inches, 267.2 cm, (~71.7% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~157 ppi density)","IPS LCD capacitive touchscreen, 16M colors",Accelerometer,Huawei MediaPad T1 10
205,,Non-removable Li-Po 4100 mAh battery,,5 MP,64GB 3GB RAM,Android 4.4 (KitKat); EMUI 3,,"13 MP, AF","2014, December","6.0 inches, 99.2 cm, (~78.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Huawei Ascend Mate7 Monarch
206,,Non-removable Li-Ion 3500 mAh battery,,2 MP,8GB 1GB RAM,Android 4.4 (KitKat),,"8 MP, AF","2014, December","6.0 inches, 99.2 cm, (~72.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Huawei Ascend GX1
207,,Removable Li-Ion 1350 mAh battery,,No,4GB 512MB RAM,Android 4.4 (KitKat),,2 MP,"2014, December","3.5 inches, 36.5 cm, (~51.7% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)","TFT capacitive touchscreen, 256K colors",Accelerometer,Huawei Ascend Y221
208,,Removable Li-Ion 1750 mAh battery,,VGA,4GB 512MB RAM,Android 4.4 (KitKat),,"5 MP, AF","2014, December","4.5 inches, 55.8 cm, (~62.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)","TFT capacitive touchscreen, 256K colors",Accelerometer,Huawei Ascend Y520
209,,Removable Li-Ion battery,,2 MP,8GB 1GB RAM,Android 4.4.4 (KitKat); EMUI 2.3,,"8 MP, AF","Exp. announcement 2015, Q3","5.0 inches, 68.9 cm","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",Huawei Ascend G628
210,,Removable Li-Ion 1950 mAh battery,,VGA,4GB 1GB RAM,Android 4.4 (KitKat),,5 MP,"2015, February","4.5 inches, 55.8 cm, (~62.1% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)","TFT capacitive touchscreen, 16M colors","Accelerometer, proximity",Huawei Ascend Y540
211,,Removable Li-Po 1730 mAh battery,,2 MP,4GB 512MB RAM,Android 4.4.4 (KitKat),,5 MP,"2015, March","4.0 inches, 44.1 cm, (~56.4% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~245 ppi density)","IPS LCD capacitive touchscreen, 16M colors",Accelerometer,Huawei Y360
212,,Removable Li-Po 2000 mAh battery,,2 MP,4GB 1GB RAM,Android 4.4.2 (KitKat); EMUI 3,,5 MP,"2015, March","5.0 inches, 68.9 cm, (~65.6% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",Huawei Y635
213,,Non-removable Li-Po 2680 mAh battery,,"8 MP, f/2.4, 26mm (wide)","16GB 3GB RAM, 64GB 3GB RAM","Android 4.4.2 (KitKat), upgradable to 6.0 (Marshmallow); EMUI 3.1",,"13 MP, f/2.0, 28mm (wide), 1.12µm, AF, OIS","2015, April","5.2 inches, 74.5 cm, (~71.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","IPS-NEO LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Huawei P8
214,,Non-removable Li-Po 4360 mAh battery,,5 MP,64GB 3GB RAM,"Android 5.0.2/5.1.1 (Lollipop), upgradable to 6.0 (Marshmallow); EMUI",,"13 MP, f/2.0, AF, OIS","2015, April","6.8 inches, 125.9 cm, (~74.1% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~326 ppi density)","LTPS IPS LCD capacitive touchscreen, 16M colors","Accelerometer, gyro, proximity, compass",Huawei P8max
215,,Non-removable Li-Ion 2200 mAh battery,,5 MP,16GB 2GB RAM,"Android 5.0.2 (Lollipop), upgradable to 6.0 (Marshmallow); EMUI 3.1",,"13 MP, f/2.0, 27mm (wide), AF","2015, April","5.0 inches, 68.9 cm, (~68.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Huawei P8lite
216,,Non-removable Li-Ion 2200 mAh battery,,5 MP,16GB 2GB RAM,Android 4.4.4 (KitKat); EMUI 3,,"13 MP, AF","2015, April","5.0 inches, 68.9 cm, (~68.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Huawei P8lite ALE-L04
217,,Removable Li-Po 2000 mAh battery,,2 MP,4GB 1GB RAM,Android 4.4.2 (KitKat); EMUI Lite 2.3,,"8 MP, AF","2015, April","5.0 inches, 68.9 cm, (~66.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity",Huawei Y625
218,,Removable Li-Ion 2000 mAh battery,,2 MP,8GB 1GB RAM,Android 5.1 (Lollipop); EMUI Lite 3.1,,"5 MP, AF","2015, June","4.5 inches, 55.8 cm, (~60.7% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~218 ppi density)","Capacitive touchscreen, 16M colors","Accelerometer, proximity",Huawei Y560
219,,Non-removable Li-Po 4800 mAh battery,,2 MP,"16GB 2GB RAM (Standard), 32GB 3GB RAM (Premium)",Android 5.1 (Lollipop); EMUI 3.1,,"8 MP, AF","2015, May","8.0 inches, 185.6 cm, (~69.7% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~283 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Accelerometer, proximity, compass",Huawei MediaPad M2 8.0
220,,Removable Li-Ion 1400 mAh battery,,No,4GB 512MB RAM,Android 4.0 (Ice Cream Sandwich),,3.15 MP,"2012, August. Released 2012, October","3.5 inches, 36.5 cm, (~50.7% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)","TFT capacitive touchscreen, 256K colors","Accelerometer, proximity",Huawei Ascend Y201 Pro
